iter	Passed	Remaining
0	0	147
1	1	106
2	1	90
3	1	84
4	2	91
5	2	96
6	3	93
7	3	88
8	4	93
9	4	92
10	5	100
11	6	96
12	6	93
13	6	90
14	7	87
15	7	84
16	7	83
17	8	81
18	8	79
19	8	78
20	8	76
21	9	75
22	9	76
23	10	78
24	11	78
25	12	80
26	15	101
27	16	99
28	16	99
29	17	97
30	17	96
31	17	94
32	18	92
33	18	92
34	19	90
35	19	89
36	19	87
37	20	86
38	20	85
39	20	83
40	21	82
41	22	83
42	22	82
43	23	81
44	23	80
45	23	79
46	23	77
47	24	76
48	24	75
49	24	74
50	25	73
51	25	72
52	26	72
53	26	71
54	28	73
55	29	74
56	29	73
57	30	75
58	33	78
59	36	84
60	36	83
61	37	82
62	37	82
63	38	81
64	38	80
65	39	79
66	39	78
67	39	77
68	40	76
69	40	75
70	41	76
71	42	76
72	43	75
73	44	75
74	45	75
75	46	75
76	46	74
77	47	73
78	47	72
79	47	71
80	48	70
81	48	70
82	49	69
83	52	73
84	53	72
85	53	71
86	53	69
87	54	68
88	54	67
89	54	66
90	55	66
91	55	65
92	55	64
93	56	63
94	56	62
95	57	62
96	57	61
97	57	60
98	57	59
99	58	58
100	58	57
101	58	56
102	59	55
103	59	54
104	59	54
105	60	53
106	60	52
107	60	51
108	61	51
109	61	50
110	63	50
111	64	50
112	64	49
113	65	49
114	66	48
115	66	48
116	66	47
117	67	46
118	67	46
119	68	45
120	68	44
121	68	43
122	69	43
123	69	42
124	69	41
125	70	41
126	70	40
127	70	39
128	71	39
129	71	38
130	72	37
131	72	37
132	73	36
133	73	36
134	73	35
135	74	35
136	74	34
137	75	33
138	75	33
139	76	32
140	76	32
141	77	31
142	78	31
143	78	30
144	78	29
145	79	29
146	79	28
147	80	28
148	80	27
149	81	27
150	81	26
151	82	25
152	82	25
153	83	24
154	83	24
155	83	23
156	84	23
157	84	22
158	85	21
159	85	21
160	85	20
161	86	20
162	86	19
163	86	19
164	87	18
165	87	17
166	87	17
167	88	16
168	88	16
169	88	15
170	89	15
171	89	14
172	89	14
173	90	13
174	90	12
175	90	12
176	91	11
177	91	11
178	92	10
179	92	10
180	93	9
181	93	9
182	94	8
183	94	8
184	95	7
185	95	7
186	96	6
187	97	6
188	97	5
189	98	5
190	98	4
191	98	4
192	99	3
193	100	3
194	100	2
195	100	2
196	100	1
197	101	1
198	101	0
199	101	0
