iter	Passed	Remaining
0	0	442
1	0	428
2	1	416
3	1	433
4	2	413
5	2	394
6	2	387
7	3	379
8	3	370
9	3	364
10	4	364
11	4	364
12	4	375
13	5	368
14	5	366
15	5	360
16	6	393
17	7	402
18	7	396
19	7	390
20	8	385
21	8	380
22	8	375
23	9	372
24	9	368
25	9	364
26	9	360
27	10	356
28	10	354
29	10	352
30	11	350
31	11	347
32	11	345
33	12	342
34	12	342
35	12	340
36	13	339
37	13	338
38	13	339
39	14	338
40	14	336
41	14	335
42	14	333
43	15	332
44	15	330
45	15	330
46	16	328
47	16	327
48	16	327
49	17	326
50	17	325
51	17	323
52	18	322
53	18	321
54	18	319
55	18	319
56	19	321
57	19	322
58	20	323
59	20	326
60	21	326
61	21	326
62	22	328
63	22	328
64	22	326
65	23	328
66	23	329
67	23	328
68	24	329
69	24	328
70	25	327
71	25	325
72	25	325
73	25	324
74	26	323
75	26	322
76	26	321
77	27	320
78	27	319
79	27	317
80	28	318
81	28	317
82	28	314
83	28	313
84	29	312
85	29	311
86	29	310
87	29	309
88	30	307
89	30	307
90	30	306
91	30	305
92	31	305
93	31	305
94	31	304
95	32	303
96	32	302
97	32	301
98	33	300
99	33	300
100	33	299
101	33	298
102	34	298
103	34	297
104	34	297
105	35	296
106	35	295
107	35	295
108	35	294
109	36	293
110	36	292
111	36	291
112	37	291
113	37	292
114	38	293
115	38	293
116	38	292
117	38	291
118	39	290
119	39	290
120	39	289
121	40	288
122	40	287
123	40	287
124	40	286
125	41	285
126	41	284
127	41	284
128	41	283
129	42	283
130	42	282
131	42	282
132	43	281
133	43	280
134	43	280
135	44	279
136	44	278
137	44	278
138	44	277
139	45	277
140	45	277
141	45	276
142	45	275
143	46	275
144	46	274
145	46	273
146	47	273
147	47	272
148	47	271
149	47	271
150	48	270
151	48	269
152	48	269
153	48	268
154	49	268
155	49	267
156	49	267
157	50	267
158	50	266
159	50	266
160	50	264
161	51	265
162	51	264
163	51	264
164	52	263
165	52	263
166	52	262
167	52	261
168	53	261
169	53	260
170	53	260
171	53	259
172	54	259
173	54	258
174	54	258
175	55	257
176	55	257
177	55	256
178	55	256
179	56	256
180	56	256
181	56	255
182	57	255
183	57	254
184	57	254
185	57	253
186	58	253
187	58	252
188	58	252
189	59	251
190	59	251
191	59	250
192	59	250
193	60	250
194	60	249
195	60	249
196	61	248
197	61	248
198	61	247
199	62	248
200	62	247
201	62	247
202	62	247
203	63	246
204	63	246
205	63	245
206	64	245
207	64	244
208	64	244
209	64	244
210	65	243
211	65	243
212	65	242
213	65	242
214	66	241
215	66	241
216	66	240
217	66	240
218	67	240
219	67	240
220	68	240
221	68	240
222	68	239
223	69	239
224	69	239
225	69	239
226	70	238
227	70	238
228	70	237
229	70	237
230	71	237
231	71	236
232	71	236
233	72	235
234	72	235
235	72	234
236	72	234
237	73	233
238	73	233
239	73	233
240	73	232
241	74	233
242	74	233
243	75	232
244	75	232
245	75	232
246	76	231
247	76	231
248	76	231
249	76	230
250	77	230
251	77	230
252	77	229
253	78	229
254	78	229
255	78	228
256	78	228
257	79	227
258	79	227
259	79	227
260	80	226
261	80	226
262	80	226
263	81	225
264	81	225
265	81	225
266	81	224
267	82	224
268	82	223
269	82	223
270	82	223
271	83	222
272	83	222
273	83	222
274	84	221
275	84	221
276	84	220
277	84	220
278	85	220
279	85	219
280	85	219
281	86	219
282	86	219
283	86	219
284	87	218
285	87	218
286	87	218
287	88	217
288	88	217
289	88	217
290	89	216
291	89	216
292	89	216
293	89	215
294	90	215
295	90	214
296	90	214
297	90	214
298	91	213
299	91	213
300	91	213
301	92	212
302	92	212
303	92	212
304	92	211
305	93	211
306	93	211
307	93	210
308	94	210
309	94	210
310	94	209
311	94	209
312	95	208
313	95	208
314	95	208
315	95	207
316	96	207
317	96	207
318	96	206
319	97	206
320	97	205
321	97	205
322	98	206
323	99	206
324	99	206
325	99	206
326	99	205
327	100	205
328	100	204
329	100	204
330	101	204
331	101	203
332	101	203
333	101	203
334	102	202
335	102	202
336	102	202
337	102	201
338	103	201
339	103	201
340	103	200
341	104	200
342	104	200
343	104	199
344	105	199
345	105	199
346	105	198
347	105	198
348	106	198
349	106	197
350	106	197
351	106	196
352	107	196
353	107	196
354	107	196
355	108	195
356	108	195
357	108	194
358	109	194
359	109	194
360	109	194
361	110	193
362	110	194
363	110	193
364	111	193
365	111	193
366	111	193
367	112	192
368	112	192
369	112	192
370	113	192
371	113	191
372	113	191
373	114	191
374	114	190
375	114	190
376	115	190
377	115	189
378	115	189
379	115	189
380	116	188
381	116	188
382	116	187
383	116	187
384	117	187
385	117	187
386	117	186
387	118	186
388	118	186
389	119	186
390	119	185
